origin,origin_region
BNSF-LOGPARKAN-CS,MW
UPRR-DENVER,NW
NSRR-CROXTON,NE
QXY2,SW
POC1-OSY1-NODE,SW
SDF9,MW
SCA2,SW
DBO7,NE
HBM3,SE
DRT9,SE
VCA2,SW
BNSF-WILLOWSPRINGS,MW
HMI2,SE
HUBG_FONTANA,SW
BNSF-DENVER-TOT,NW
BNSF-STOCKTON-CE,SW
XDF3,TX
KDEN,NW
RARC,SE
LONGVIEW_98632_1199_931,NW
NRI_3PL-JURUPA,SW
IUTA,SE
AUSTINWH_78653_546,TX
KRB2,NE
PHX5,SW
XJF1,NE
MLB1,SE
WWV8,SE
REHRIG_ERIE_PLANT,NE
XAB4,NE
16914 S AUTO CENTER DR,SW
CLT2-OFFSITE-YARD,SE
TREWS_TEC,MW
XMD6,NE
MDW9,MW
MIA7,SE
XLX7,SW
TUS1-OSY2-NODE,SW
RFD3,MW
ULA6,SW
KRB3,SW
BFN1,NE
VCA3,SW
1121QNTTL_ITR,MW
723_SCOTIA_RD,SE
ORBIS_TEMP_KCMO,MW
DTO9,
C+,MW
SAV7,SE
VNV2,SW
KRB5,NE
XCA2,SW
DSC4,SE
114K6GZHY_ITR,SW
HUBG_PORTLAND_KING,NW
116365V3W_REDELIVER,MW
11535QS55_ITR,TX
11685RBC9_ITR,NE
DBO9,NE
UPRR-ICTF-LONG BEACH,SW
BNSF-ALLIANCE-CS,TX
NSRR-JACKSONVILLE,SE
BFI9,NW
US_NPPC__181049308_272,NE
QZZ7,SW
BMKT9_USC4787957771,NE
BNSF-CORWITH-MC,MW
3M_DK1_60115_694,MW
XAT3,SE
IOH1,MW
XBF3,NW
PACTIV_T_76501_2242_705,TX
HBF5-SHUTTLE,NW
SLC1,SW
TON3,MW
JAX2,SE
ONT6,SW
CLT9,SE
BOS1,NE
OUTSIDE BNSF-MEMPHIS-TOT,SE
DAMCO DISTRIBUTION SERVICES_CA,SW
SGA1,SE
QOH1,MW
114BNGQPY_ITR,SE
SAV4,SE
CSXT-FAIRBURN,SE
SWF4,SE
SCJ_DC_1_60628_4608_337,MW
XPH1,NE
MDT9,NE
QVA3,SE
PBI2,SE
DFL3,SE
DSJ7,SW
DYV1,
GEG1,NW
SAZ1,SW
JHW1,NW
UMN1,MW
QOL1,NW
VTX5,TX
BFI5,NW
MCI3,MW
OUTSIDE-CSXT-CF ILC-RAMP,SE
MQJB,MW
SFL3,SE
DKY5,MW
G-,TX
XGA1,SE
TPA1,SE
CSXT-CHAMBERSBURG-SWT,NE
XFL2,SE
DON9,
TUS2,SW
CSXT-BEDFORD PARK,MW
MOB5,SE
AACT-ONT,SW
BNSF-NWOHIO-ICTF-TOT,MW
OAK7,SW
1111S976B_ITR,MW
112WDJJRD_ITR,SE
DET2,MW
OUTSIDE-BNSF-MEMPHIS,SE
CSXT-JACKSONVILLE-CS,SE
UCA1,SW
FTW8-DRAY,TX
UWA6,NW
LUK7,MW
SIL1,MW
BNSF-CORWITH-SW,MW
QSD9,MW
QXY1,SW
LGB8-DRAY,SW
DAU5,TX
ABBOTT-AZ,SW
AFW1,TX
ABE8-OSY-1,NE
SIN9,MW
BNSF-ALLIANCE-CE,TX
BFN3,TX
KAUS,TX
OUTSIDE-CSXT-FAIRBURN-CS,SE
LAS1-OSY-NODE,SW
XIN5,MW
NEWELL_B_92337_866,SW
SBD6,SW
STX4,TX
YUL2,
SCK1,SW
HPB2,SE
SLC9,SW
MAB4,SW
XLX3,SW
TOPS PRODUCTS-DALLAS,TX
EMA_RDC__31407_9264_249,SE
WYNRIGHT,MW
UCA6,SW
AR_DHT2,TX
XAT4,SW
CLE5,MW
HMC3,MW
HNE1,NE
LIT2,TX
HPX1,SW
HIN2,MW
JVL6,MW
BNSF-LACITCOMM,SW
SLA6,SW
NSRR-CHARLOTTE-MC,SE
METRO_DE_44139_4357_506,MW
QXY9,SW
HUBG_ROADTEX,SE
SMF1,SW
SPA1,NE
SSC3,SE
BHEI7,SE
EXLA-ATH047,SE
1123LZ2Z1_ITR,SW
HAVUH,SW
CDW5,NE
CLE3,MW
RJY3,MW
DFW9,TX
PBI3,SE
UIL1,MW
XBN3-OSY1-NODE,SE
DPL2,NE
DMX6,
KSCK,SW
DCN2,MW
112YVX27Y_ITR,MW
1149TVHT4_REDIRECT,MW
MDW7-DRAY,MW
PGA1,SE
MDT4,NE
FTW1-DRAY,TX
DMH9,NE
RIC5,NE
CMH5,MW
RYY2,SE
TCY5,SW
MTY1,
MAHRT_MI_36851_439,SE
DAE3,NE
KCDC_NOR_98327_188,NW
DNA4,SE
SOR3,NW
CSXT-SPRINGFIELD-CS,NE
CONGLOBAL FOREST VIEW,MW
MCI5,MW
DXT2,
HDT3,MW
UPRR-PORTLAND-BROOKLYN,NW
111BVHW8L_ITR,TX
GOAK,SW
RPNC,SE
BFI8,NW
HCM1,MW
PHX7,SW
SAT1,TX
RNO4,SW
SCK3,SW
GYI1-ODY,MW
KPHX,SW
AKR1,MW
CHA1,SE
MDW7,MW
MEM3,SE
REHRIG_DAL_1,TX
RJY2,SE
BNSF-STLOUIS-TOT,MW
KATL,SE
BDL6,NE
HDC1,NE
XCH1,TX
WKS4,MW
115LN9VYQ_ITR1,SW
MLI1,MW
CLT2OSY3,SE
HMD3,NE
ORBIS_TROY,MW
PEPESTOWING,SW
B2BFN5-3299985-6670316-90745,SW
LINK SNACKS,MW
WID1,NW
DMF5,SE
113W1DK33_ITR,MW
FTW6,TX
SOH3,MW
BNSF-LOGPARKAN-MC,MW
MDW4-DRAY,MW
MDT5,NE
BNSF-WILLOWSPRINGS-CS,MW
DWA2,NW
JB_HUNT_GREENBAY,MW
SSC4,SE
SOK1,TX
P_AND_G__272140001_117,SE
XCH2,SE
CONGLOBAL_FOREST_VIEW,MW
LGB9,SW
JB_HUNT_LA_3770,SW
HLA8,SW
OUTSIDE-NSRR-NORFOLK,NE
SMO1,MW
SNY5,NE
HUBG_STORAGE,SW
YYC8,
MEX1,
QXY4,SW
CSXT-NORTHWEST OHIO ICTF,MW
CSXT-EAST ST LOUIS,MW
DWA6,NW
IUSJ,SW
G_T_ENTERPRISES_SOUTH_HOLLAND,MW
BFL1,SW
HIL3,MW
BNSF-MEMPHIS-CE,SE
WPY1,NE
EXLA-LVS227,SW
ABE2,NE
FTW1,TX
TIJ1,
HIA1,NE
VCA5,SW
DDA9,TX
EXLA-NFK003,NE
115BG73CR_ITR,SW
WBM3,SE
SNV1,SW
BOI2,NW
LAX9,SW
JAX2-DRAY,SE
IAH5,TX
MAJ2,MW
CORNING__27712_878,SE
CMH1,MW
WOH1,MW
DLC4,
DCA6-DRAY,NE
ZPL3,NE
115KJF17K_ITR,MW
112DKMZQ7_ITR,SE
DML3,MW
VGT5,SW
ORD2,MW
PNE4,NE
1123DVC9Z_ITR,MW
AVP8,NE
DTU2,SW
QES1,TX
YOW3,
IND9-OSY1-NODE,MW
BNSF-LOSANGELES-MC,SW
DHO4,TX
ONT8-OSY4-NODE,SW
PNE5,NE
BOS7,NE
HOU5,TX
DFO2,SW
DFX4,SW
UWA5,NW
ROYAL_CA_68025_788,MW
BNSF-WILLOWSPRINGS-CE,MW
SIMN9____,NE
YYZ2,
SPA4,NE
RFD2,MW
ZST3,NW
MTY3,
XEW5,NE
HGT DROP YARD,SW
OUTSIDE DLN4,MW
KGEG,NW
JB_HUNT_FORESTPARK,SE
IGQ1,MW
XPH8,NE
HAT9,SE
IND3,MW
DYY5,NE
HGR1,MW
FTY4,SE
SAT3,TX
BNSF-CICERO-TOT,MW
JAX9,SE
HOU3,TX
SUT1,SW
SNC6,SE
SAT7,TX
MKE5,MW
115PBJQD2_ITR,TX
HUBG_MEMPHIS,SE
MAM5,NE
POC3-OSY-NODE,SW
HDY9,MW
WIL5,MW
FY YARD,SW
3M_DKC_60115_130,MW
SMITH_TRANSPORT_STORAGE,NE
CHA2,SE
JVL1,MW
AZA9,SW
DXC3,SW
FREDERICKSBURG_WELCOME_CENTER,NE
JAX7,SE
CSXT-MEMPHIS,SE
CSXT-NORTH KEARNY-SWT,NE
RPNV,SW
BDL1,NE
MAB9,SW
ABQ1,SW
QBE1,NE
PHXZ,SW
DOZLS,TX
LAS1,SW
BDL5,NE
XIN1,MW
TEB4,NE
FO3IT_559281938103,MW
114LQMQQP_ITR,SE
DML4,MW
BNSF-FAIRBURN-CS,SE
QZZ8,NW
CAK4,MW
KTPA,SE
SIA1,TX
KEURS,NE
JB_HUNT_FONTANA,SW
OAK9,SW
MAJORS_P_68127_1109_132,MW
DNJ3,NE
AACT-CHW,MW
WND1,MW
DEN3,NW
DFW6,TX
ORD4,MW
MCO6,NE
SMF5,SW
CORNING__13820_389,NE
MDW8,MW
VIL4,MW
113TM66S3_ITR,MW
DAL2,TX
SGA2,SE
KTOL,MW
FECR-TITUSVILLE,SE
OPC_TRUCKING_INC,SW
1128J915W_ITR,MW
BNA3,SE
LEX1,MW
MAZ2,SW
OWD5,NE
XLA1,SW
XON1,SW
UGA2,SE
3000 CENTERPOINT WAY,MW
BNSF-LOSANGELES-CS,SW
XLA3,SW
DMS2,MW
USC1,SW
GOAK_OFF2,SW
DHO8,TX
111BVHW8L_ITR,NE
DPS2,SW
DDP5,NE
1116J1CQR_ITR,MW
DPA7,TX
KRB1,SW
FISHERS_46037_9727_633,MW
UCA4,SW
CVG5,MW
MAB6,NW
DWS4,NW
MIL1,MW
UAZ1,SW
IND2,MW
BNSF-PORTLAND-TOT,NW
SAC5,SW
USF1,SW
UCA5,SW
XIN4,MW
INGRAM-RETURNS,NE
ROYAL_CA_37090_586,SE
LGA7,NE
1139465SV_ITR,SW
PCW1,MW
RNM9,MW
HDE2,NW
DEN7,NW
"30.70314, -96.36608",TX
IAH1,TX
ORF2,NE
DSM9,MW
VUT1,SW
GUERRA,TX
CSXT-KEARNY,NE
DIA5,MW
WLN2,SE
STL3,MW
DFW40,TX
BNSF-COMMERCE-MC,SW
MCI9,MW
UFL2,SE
IUSQ,SW
SWIFT_DECATUR_GA,SE
GPI_LBP_49007_637,MW
BFI4,NW
BUR7,SW
DTU9,SW
IUSA,SW
SCK6,SW
ORH3,NE
VGT1,SW
TPA4,SE
SNC2,SE
FTW4,TX
TMB8,SE
CRG1,SE
CSXT-MIAMI,SE
DYY6,NE
AGS1,SE
TEB6,NE
MEX3,
MCC1,SW
PTX3,TX
XDA4,SE
IUST,NE
PVD2,NE
KBWI,NE
TORCH,SW
PHL6,NE
P_AND_G__186570001_514,NE
NOGALES,SW
OAK5,SW
DTW5,MW
VAX2,SW
SR,SW
DHX4,TX
BNSF-FAIRBURN-CE,SE
CSXT-COLUMBUS,MW
IAH3,TX
SCA3,SW
KSBD,SW
HUBG_LA_YARD,SW
CMH4,MW
YOW1,
RIMG,TX
UVA5,NE
WWI2,MW
UOH5,MW
LPRW,MW
HJBI-CHARLOTTE,SE
DKCL9,TX
SMITH_TRANSPORT_HUNTINGDON,NE
IND5,MW
SBD2,SW
BNSF-CORWITH-SWT,MW
QHS3,MW
HDY1,MW
MAB1,SW
MEM4,SE
SIA2,MW
IUSR,SE
XAT2,SE
PETRO-TRUCK-STOP,
KROSS_PATTERSON_CA,SW
VTN1,SE
PORTLAND_97203_6485_350,NW
IUSE,SE
KUEHNE_NAGEL,SE
BRENNAN,SW
CSX-SOUTH KEARNY,NE
DAE7,NE
DDT1,MW
DOM2,MW
MDW2,MW
CSXT-CHICAGO 59TH ST,MW
BNSF-PHOENIX-MC,SW
AUN2,NW
RDU5,SE
UPRR-CHICAGO-GLOBAL-II,MW
115LN9VYQ_ITR,SW
PHL9,NE
DDT6,MW
HUBG-MESQUITE,TX
MARSDEN_PA,NE
RIC2,NE
BNSF-MEMPHIS-MC,SE
YYZ1,
JAX5,SE
MAC1,MW
UMD1,NE
TEN3,SW
CLT4,SE
VNJ3,NE
IGL1,TX
UVA1,NE
BWI5,NE
VCA4,SW
AACT-FAY,SE
PIT5,NE
YHM8,
XMD1,MW
114LV49KL_ITR,SE
SCJ_DC_1_60628_629,MW
BLV2,MW
SYS3,SE
STL9,MW
KCVG,MW
CT POLYMERS,MW
ASUAA,SW
,SW
STX2,TX
YOO1,
OUTSIDE-CSX-JAX-RAMP,SE
MQJ9,MW
DA2__WIL_75172_515,TX
PACTIV___76501_129,TX
DID3,NW
MSP1,MW
BNA5,SE
DMX2,
IUTC,TX
114ZY84MG_ITR,SE
HCA8,SW
1-Jan,SE
GYR3,SW
STX3,TX
EXLA-PAZ297,SW
ACY2,NE
PDK2,SE
HBF9,NW
BNSF-LOSANGELES-SW,SW
VAX5,SW
JBHUNT_CHICAGO,MW
113RRC2LT_ITR,MW
HUBG,MW
SBD5,SW
BWI4,NE
CSXT-CLEVELAND,MW
BNSF-LOGPARKAN,MW
ONT3,SW
ATL2,SE
PHL5,NE
IND4,MW
ORBIS_TEMP_NKC,MW
PRESTO___54914_3133_384,MW
MQJ2,MW
SWA_US_SHIPBO41,TX
HJBI_BOLTON_ON,
FFIL1,MW
DPX6,SW
BNSF-FAIRBURN-TOT,SE
BJX1,
CSXT-TAMPA,SE
JFK8-DRAY,NE
UTX8,TX
YHM1,
ONT2,SW
PHX6,SW
MEM8,SE
NESTLE_P_52802_947,MW
RIM2,TX
DLX5,SW
BAIBM,NE
BNSF-STOCKTON,SW
TPA2,SE
SCO2,NW
PIT2,NE
CMH7,MW
DPX8,SW
UPRR-LATC (LAMAR),SW
ACY1,NE
SOH1,MW
HGR2,NE
MAO6,SW
PNJ3,NE
ZAP2,MW
XLG1,SW
MON-WINVA,NE
DKY8,MW
TPA6,SE
MEM6,SE
TEN1,NE
MGE3,SE
GDL1,
MKY1_OSY2,MW
XMD4,MW
LPK1,NW
REHRIG_WI,MW
9060 ASHVILLE PIKE,MW
116QP59JZ_ITR,SW
FORTNA,MW
MKE2,MW
MQJ1,MW
SAT9,TX
MAL0,NE
DPP7,NE
MDW4,MW
REHRIG_JOLIET,MW
MQJ4,MW
GEG2,NW
VAX3,SW
HOU1,TX
PHX9,SW
DSK4,NW
JOT3,MW
BNSF-HOUSTON-TOT,TX
BNSF-HOUSTON-CS,TX
HCA1,TX
LGB5,SW
ORH5,NE
RJY4,SW
SVA4,NE
HLV1,SW
BOS3,NE
TYS1,SE
MIA1,SE
KRIC,NE
1137G3MGL_ITR,MW
4640 S MENDENHALL RD,SE
WBW2-OSY2NODE,NE
MCO1,SE
MTN3,NE
OKC9,TX
CSXT-CENTRAL FLORIDA ILC-SW,SE
BMH1,SE
DBM3,SE
SWI1,MW
CLE2,MW
WKY3,MW
CSXT-CENTRAL FLORIDA ILC-CS,SE
MAF7,NE
RIMG2,TX
PDX5,NW
UOR2,NW
LAX5,SW
DKC3,SE
DHT4,TX
HDC7,NE
YVR7,
BNSF-DENVER-CS,NW
KTX1,TX
PACTIV_T_76501_353,TX
RAD1,SE
HILL_S_P_37090_1669_826,SE
STL6,MW
ORBIS_TEMP_KS,MW
XMD2,MW
TUL5,TX
CSXT-BALT CURTIS BAY,NE
HUBG_CHARLOTTE_ATANDO,SE
BNSF-PHOENIX-TOT,SW
SBN1,MW
SFL2,SE
ORBIS_OSAGE_CITY,MW
BNA9,SE
GVFB_CANADA,
AIS_LEOM_01453_372,NE
LGA9,NE
VMX4,
RIC9,NE
ARB2,MW
NEWELL_S_37160_811,SE
DDX2,TX
RMN3,NE
SPA5,NE
KONT,SW
POC1,SW
MKY1_OFFSITE,MW
TWP___TA_18252_337,NE
MTN5,NE
DGI3,NE
HJBI YARD JOPPATOWNE,NE
HJBI YARD HASLET TX,TX
STN1,SE
BDL3-DRAY,NE
HGE1,NW
BFI1,NW
YEG1,
BTR9,SE
BNSF-ALLIANCE-MC,TX
WBW2,NE
ATL5,SE
1111 INTERMODAL PKWY,TX
VNJ2,NE
MDWZ,MW
SCK4,SW
QXY8,SW
KRB4,SW
DFA5,SW
ITS_CONGLOBAL_ANTIOCH_CA_DEPOT,SW
BNSF-ALLIANCE-TOT,TX
RBD5,TX
JFK8-OSY-NODE,NE
EUG5,NW
VMO2,MW
BNSF-CORWITH-CS,MW
UCO1,NW
116LRTN2Q_ITR,NE
KILN,MW
DUR3,SW
SAX3,SW
SCO1,NW
STX6,TX
YYZ3,
MGE1,SE
BNSF-PHOENIX-CE,SW
FTW5,TX
SHIVERS_TOWING_OXFORD_MS,SE
CSXT-JACKSONVILLE-MC,SE
SAZ3,SW
ALB1,NE
SAT5,TX
ORBIS_WDM_STORAGE,MW
DHT1,TX
RIC7,NE
